noise_scale,idx,physics_loss,max_joint,total_loss,wp_l2,wp_linf
0.05,61,-4.604194164276123,2.984306573867798,-4.3057637214660645,0.06164766475558281,0.024204015731811523
0.05,62,-4.555771350860596,2.9532668590545654,-4.260444641113281,0.06175592914223671,0.030044913291931152
0.05,63,-4.475482940673828,2.967207670211792,-4.178761959075928,0.05242154002189636,0.030183076858520508
0.05,64,-7.461026191711426,2.181720733642578,-7.242854118347168,0.09257719665765762,0.039464354515075684
0.05,65,-7.37070369720459,2.1893832683563232,-7.1517653465271,0.03786667436361313,0.020583242177963257
0.05,66,-7.333524703979492,2.1833059787750244,-7.115194320678711,0.07888281345367432,0.04348886013031006
0.05,67,-7.093014717102051,2.185401678085327,-6.87447452545166,0.04116480425000191,0.0228484645485878
0.05,68,-7.309366226196289,2.1898794174194336,-7.090378284454346,0.03022230602800846,0.015276193618774414
0.05,69,-7.667518138885498,2.1744985580444336,-7.450068473815918,0.060861360281705856,0.03531765937805176
0.05,70,-7.481127738952637,2.182734966278076,-7.262854099273682,0.06729105859994888,0.032098107039928436
0.05,71,-7.499053955078125,2.184227466583252,-7.280631065368652,0.07357262820005417,0.04371929168701172
0.05,72,-4.181849956512451,2.415315628051758,-3.9403183460235596,0.09501292556524277,0.0718076229095459
0.05,73,-4.250059127807617,2.412707805633545,-4.008788108825684,0.05667979270219803,0.03591322898864746
0.05,74,-4.167818546295166,2.441753387451172,-3.923643112182617,0.07313966751098633,0.04121887683868408
0.05,75,-4.311534404754639,2.407278299331665,-4.070806503295898,0.07642551511526108,0.03832054138183594
0.05,76,-4.200222969055176,2.4332547187805176,-3.956897497177124,0.10056041181087494,0.04912745952606201
0.05,77,-4.186246871948242,2.4206855297088623,-3.944178342819214,0.07948805391788483,0.05200791358947754
0.05,78,-4.115876197814941,2.4583730697631836,-3.8700389862060547,0.05900689586997032,0.029998064041137695
0.05,79,-4.186670303344727,2.432941436767578,-3.943376064300537,0.05468137562274933,0.02893996238708496
0.05,80,-3.7972097396850586,3.410076856613159,-3.4562020301818848,0.03537920117378235,0.01941227912902832
0.05,81,-3.7917301654815674,3.4232699871063232,-3.4494032859802246,0.04823257774114609,0.027544736862182617
