t,J1,J2,J3,J4,J5,J6
8.080808080808081328e+00,-2.163872241973876953e+00,4.121397435665130615e-01,7.695338129997253418e-02,-2.155718326568603516e+00,-2.166179656982421875e+00,1.144980430603027344e+00
8.181818181818181657e+00,-2.056331157684326172e+00,3.916569948196411133e-01,7.312890887260437012e-02,-2.048582315444946289e+00,-2.058523654937744141e+00,1.088076591491699219e+00
8.282828282828281985e+00,-1.936096310615539551e+00,3.687566220760345459e-01,6.885302066802978516e-02,-1.928800702095031738e+00,-1.938160777091979980e+00,1.024456143379211426e+00
8.383838383838384090e+00,-1.805283784866333008e+00,3.438415229320526123e-01,6.420096009969711304e-02,-1.798480987548828125e+00,-1.807208776473999023e+00,9.552386999130249023e-01
8.484848484848484418e+00,-1.666008949279785156e+00,3.173146843910217285e-01,5.924795940518379211e-02,-1.659731030464172363e+00,-1.667785406112670898e+00,8.815435171127319336e-01
8.585858585858586522e+00,-1.520387411117553711e+00,2.895790338516235352e-01,5.406924709677696228e-02,-1.514658212661743164e+00,-1.522008657455444336e+00,8.044900894165039062e-01
8.686868686868686851e+00,-1.370534777641296387e+00,2.610375285148620605e-01,4.874007031321525574e-02,-1.365370273590087891e+00,-1.371996283531188965e+00,7.251978516578674316e-01
8.787878787878787179e+00,-1.218566536903381348e+00,2.320930361747741699e-01,4.333565011620521545e-02,-1.213974714279174805e+00,-1.219865918159484863e+00,6.447861194610595703e-01
8.888888888888889284e+00,-1.066598415374755859e+00,2.031485736370086670e-01,3.793123736977577209e-02,-1.062579274177551270e+00,-1.067735791206359863e+00,5.643745064735412598e-01
8.989898989898989612e+00,-9.167456626892089844e-01,1.746070384979248047e-01,3.260204941034317017e-02,-9.132910966873168945e-01,-9.177231788635253906e-01,4.850821495056152344e-01
9.090909090909089940e+00,-7.711241245269775391e-01,1.468713879585266113e-01,2.742334082722663879e-02,-7.682183980941772461e-01,-7.719464302062988281e-01,4.080287218093872070e-01
9.191919191919192045e+00,-6.318495273590087891e-01,1.203445792198181152e-01,2.247034758329391479e-02,-6.294685602188110352e-01,-6.325232982635498047e-01,3.343336582183837891e-01
9.292929292929292373e+00,-5.010366439819335938e-01,9.542945027351379395e-02,1.781827211380004883e-02,-4.991487264633178711e-01,-5.015709400177001953e-01,2.651159763336181641e-01
9.393939393939394478e+00,-3.808021545410156250e-01,7.252907752990722656e-02,1.354239135980606079e-02,-3.793671131134033203e-01,-3.812081813812255859e-01,2.014956474304199219e-01
9.494949494949494806e+00,-2.732605934143066406e-01,5.204629898071289062e-02,9.717911481857299805e-03,-2.722308635711669922e-01,-2.735519409179687500e-01,1.445916891098022461e-01
9.595959595959595134e+00,-1.805284023284912109e-01,3.438416123390197754e-02,6.420098245143890381e-03,-1.798481941223144531e-01,-1.807208061218261719e-01,9.552383422851562500e-02
9.696969696969697239e+00,-1.047205924987792969e-01,1.994550228118896484e-02,3.724157810211181641e-03,-1.043260097503662109e-01,-1.048321723937988281e-01,5.541133880615234375e-02
9.797979797979797567e+00,-4.795289039611816406e-02,9.133309125900268555e-03,1.705341041088104248e-03,-4.777216911315917969e-02,-4.800415039062500000e-02,2.537357807159423828e-02
9.898989898989899672e+00,-1.234078407287597656e-02,2.350479364395141602e-03,4.388764500617980957e-04,-1.229429244995117188e-02,-1.235389709472656250e-02,6.529927253723144531e-03
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
