t,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6
1.6,12.626978874206543,45.07673263549805,4.652616500854492,-8.260415077209473,0.35074499249458313,0.05097750201821327
1.7000000000000002,9.330126762390137,35.892616271972656,5.055414199829102,-7.010775566101074,-0.8365287780761719,0.04716898500919342
1.8,7.502506256103516,26.386703491210938,5.813855171203613,-5.373492240905762,-1.4845269918441772,0.025530368089675903
1.9000000000000001,6.583323001861572,18.7974853515625,6.664127826690674,-3.8329172134399414,-1.5518242120742798,-0.00458671897649765
2.0,5.671721458435059,13.631389617919922,7.268845558166504,-2.5655527114868164,-1.2785454988479614,-0.03176388144493103
2.1,4.655118942260742,10.486715316772461,7.559114933013916,-1.5969377756118774,-0.8934943079948425,-0.05018673092126846
2.2,3.785900115966797,8.781543731689453,7.597576141357422,-0.8955238461494446,-0.5434486865997314,-0.06061379611492157
2.3000000000000003,3.245905876159668,8.003676414489746,7.542405605316162,-0.4724155068397522,-0.3107394278049469,-0.0654056966304779
2.4000000000000004,3.0662026405334473,7.7815656661987305,7.498281955718994,-0.3287171721458435,-0.22789707779884338,-0.06667356193065643
2.5,5.232548713684082,10.3246431350708,-2.3419554233551025,0.14967581629753113,-0.12831003963947296,-0.07224605232477188
2.6,5.289400577545166,10.12779712677002,-2.1471714973449707,0.16154201328754425,-0.11179523169994354,-0.06995060294866562
2.7,5.477237224578857,9.588886260986328,-1.4773787260055542,0.18403169512748718,-0.07292215526103973,-0.061427295207977295
2.8000000000000003,5.79177188873291,8.815415382385254,-0.05147230625152588,0.1866157203912735,-0.028666764497756958,-0.04221788048744202
2.9000000000000004,6.072722911834717,8.088271141052246,2.5497188568115234,0.13337498903274536,0.007984787225723267,-0.008718978613615036
3.0,5.912109375,7.935062885284424,6.704274654388428,0.056869059801101685,0.09775471687316895,0.03575162589550018
3.1,4.66107177734375,9.112547874450684,11.874212265014648,0.07783684879541397,0.41530969738960266,0.07268112897872925
3.2,1.8114750385284424,12.167095184326172,15.775537490844727,0.30825075507164,1.2215543985366821,0.0789012461900711
3.3000000000000003,-1.9650821685791016,16.03076171875,13.875600814819336,0.6121857166290283,2.6582727432250977,0.04877647012472153
3.4000000000000004,-3.9019055366516113,17.1823673248291,1.902461051940918,0.5867452621459961,4.257730960845947,0.02198903262615204
3.5,-3.421497344970703,11.637248992919922,-19.818904876708984,-0.16564130783081055,4.575381755828857,0.05929569527506828
3.6,-6.9072723388671875,0.5948009490966797,-43.710655212402344,-1.3690911531448364,2.566913604736328,0.15734881162643433
3.7,-13.320392608642578,-8.97365951538086,-58.81966781616211,-1.9308598041534424,-0.7856541872024536,0.23320314288139343
3.8000000000000003,-9.328598022460938,-11.948948860168457,-58.22174835205078,-0.9347028732299805,-3.560925006866455,0.21987827122211456
3.9000000000000004,7.142721176147461,-10.006210327148438,-41.8989372253418,0.5684881210327148,-4.285803318023682,0.1223287433385849
4.0,19.47035789489746,-8.047420501708984,-16.772722244262695,0.7727155685424805,-2.890354633331299,0.011236172169446945
4.1000000000000005,16.84012222290039,-7.730030059814453,7.581689834594727,-0.23262882232666016,-0.8360223770141602,-0.05502496287226677
4.2,5.113243103027344,-7.384993553161621,22.607322692871094,-0.9877235889434814,0.4576396942138672,-0.07678156346082687
4.3,-5.792594909667969,-6.302000045776367,24.717426300048828,-1.1265581846237183,0.9464206695556641,-0.08480729162693024
4.4,-11.011516571044922,-5.688079357147217,18.166526794433594,-1.1973586082458496,1.1891642808914185,-0.09682430326938629
4.5,-10.847274780273438,-6.244462013244629,9.504146575927734,-1.315696358680725,1.292762041091919,-0.11096872389316559
4.6000000000000005,-8.185458183288574,-7.589570999145508,2.8739607334136963,-1.367673397064209,1.172966718673706,-0.11952541023492813
4.7,-5.592611789703369,-8.990276336669922,-1.0252196788787842,-1.3566912412643433,0.9351456761360168,-0.12075050175189972
4.800000000000001,-4.066585540771484,-9.969266891479492,-2.862946033477783,-1.3375210762023926,0.7250948548316956,-0.11859254539012909
4.9,-3.592176914215088,-10.309324264526367,-3.395920991897583,-1.3323770761489868,0.64485102891922,-0.11683747172355652
5.0,-3.173821210861206,0.9835160374641418,2.2975034713745117,0.11610372364521027,0.037138767540454865,-0.028887415304780006
5.1000000000000005,-3.071091413497925,1.0430790185928345,2.291351795196533,0.11316899955272675,0.033332761377096176,-0.028808224946260452
5.2,-2.7660603523254395,1.21318781375885,2.2663004398345947,0.11024772375822067,0.022076565772294998,-0.028497988358139992
5.300000000000001,-2.305333137512207,1.4603288173675537,2.237424373626709,0.1057826429605484,0.003124155104160309,-0.027800260111689568
5.4,-1.7550618648529053,1.739801287651062,2.2212326526641846,0.10778319835662842,-0.024690106511116028,-0.02672129124403
5.5,-1.2112492322921753,1.9637739658355713,2.239391326904297,0.1149950698018074,-0.06087154150009155,-0.02500840276479721
5.6000000000000005,-0.7693288326263428,2.0512452125549316,2.2939181327819824,0.129490464925766,-0.10496607422828674,-0.022507961839437485
5.7,-0.5254174470901489,1.9095395803451538,2.394817590713501,0.15101057291030884,-0.15759062767028809,-0.019180970266461372
5.800000000000001,-0.534113347530365,1.4668554067611694,2.5124006271362305,0.17424580454826355,-0.21386799216270447,-0.014893817715346813
5.9,-0.7976477146148682,0.718788743019104,2.6110596656799316,0.19491976499557495,-0.27329501509666443,-0.009828988462686539
6.0,-1.250689148902893,-0.2767042815685272,2.633153200149536,0.20858247578144073,-0.3333170413970947,-0.004234364256262779
6.1000000000000005,-1.7656676769256592,-1.3937692642211914,2.513533115386963,0.21366606652736664,-0.38852739334106445,0.001539828721433878
6.2,-2.1836400032043457,-2.461806535720825,2.2192211151123047,0.2108447104692459,-0.44274821877479553,0.007099638227373362
6.300000000000001,-2.357419490814209,-3.312526226043701,1.7443573474884033,0.20779934525489807,-0.49176841974258423,0.012005390599370003
6.4,-2.1882081031799316,-3.8192477226257324,1.1302049160003662,0.215578094124794,-0.5372459292411804,0.01598072052001953
6.5,-1.6479082107543945,-3.9429476261138916,0.4572017192840576,0.2389143705368042,-0.5733833909034729,0.01884598471224308
6.6000000000000005,-0.7727406024932861,-3.6992950439453125,-0.21741342544555664,0.2853778004646301,-0.6050477027893066,0.0206147488206625
6.7,0.3301413059234619,-3.198157787322998,-0.7803318500518799,0.3503642678260803,-0.6241391897201538,0.021330729126930237
6.800000000000001,1.5487134456634521,-2.5456299781799316,-1.2028284072875977,0.4292253851890564,-0.633111834526062,0.02127423696219921
6.9,2.754960060119629,-1.8583767414093018,-1.4678006172180176,0.5146237015724182,-0.6318549513816833,0.020694036036729813
7.0,3.853032112121582,-1.2278074026107788,-1.5870935916900635,0.5980104207992554,-0.621141791343689,0.019763708114624023
7.1000000000000005,4.7574462890625,-0.7110003232955933,-1.6143131256103516,0.6724022626876831,-0.607266366481781,0.01882297918200493
7.2,5.42561674118042,-0.3380820155143738,-1.5842981338500977,0.7261660695075989,-0.591213583946228,0.017964499071240425
7.300000000000001,5.834767818450928,-0.11843827366828918,-1.5484508275985718,0.7599804401397705,-0.5794716477394104,0.017372475937008858
7.4,5.972415924072266,-0.042519986629486084,-1.5315914154052734,0.771278977394104,-0.5750055313110352,0.017175186425447464
7.5,2.03155255317688,-4.825194358825684,8.242595672607422,-1.4785679578781128,0.3465637266635895,-0.011939182877540588
7.6000000000000005,1.7890708446502686,-4.79681921005249,8.107400894165039,-1.463653326034546,0.3706918954849243,-0.012087592855095863
7.7,1.0907115936279297,-4.767013072967529,7.75270938873291,-1.421179175376892,0.44804078340530396,-0.012630358338356018
7.800000000000001,0.06339085102081299,-4.808120250701904,7.0088348388671875,-1.3346799612045288,0.5730376839637756,-0.013322854414582253
7.9,-0.9978134632110596,-5.04388427734375,5.755753517150879,-1.1826173067092896,0.7355057001113892,-0.014039103873074055
8.0,-1.5251761674880981,-5.541296005249023,3.8281924724578857,-0.9369106292724609,0.9063169956207275,-0.014343061484396458
8.1,-0.7260684967041016,-6.2353034019470215,1.1686558723449707,-0.5698195695877075,1.0333359241485596,-0.013919413089752197
8.200000000000001,2.136172294616699,-6.840580940246582,-2.050499439239502,-0.07632464170455933,1.045978307723999,-0.012533904984593391
8.3,7.164888858795166,-6.837968826293945,-5.364779949188232,0.5243231058120728,0.8781505227088928,-0.010087360627949238
8.4,13.344861030578613,-5.7652740478515625,-8.077022552490234,1.1623998880386353,0.5158854722976685,-0.006896269973367453
8.5,18.815746307373047,-3.5186548233032227,-9.58696174621582,1.753079891204834,0.02385711669921875,-0.0034514472354203463
8.6,21.765226364135742,-0.43462204933166504,-9.65086555480957,2.2024173736572266,-0.5079876184463501,-0.00022094720043241978
8.700000000000001,21.348840713500977,2.847172975540161,-8.491886138916016,2.4866795539855957,-0.9597172737121582,0.002543502487242222
8.8,17.864561080932617,5.764652729034424,-6.538399696350098,2.6029834747314453,-1.2880921363830566,0.004813412204384804
8.9,12.276214599609375,7.948641300201416,-4.288141250610352,2.5665383338928223,-1.459899663925171,0.006682823412120342
9.0,5.746067047119141,9.348567008972168,-2.0789847373962402,2.4163107872009277,-1.4933416843414307,0.008226927369832993
9.1,-0.7401142120361328,10.077178001403809,-0.15021991729736328,2.1619818210601807,-1.4063602685928345,0.00946903321892023
9.200000000000001,-6.546489715576172,10.323646545410156,1.3748106956481934,1.8408631086349487,-1.233434796333313,0.010445022024214268
9.3,-11.293098449707031,10.313075065612793,2.453746795654297,1.4800636768341064,-1.0094046592712402,0.011175451800227165
9.4,-14.912233352661133,10.175492286682129,3.102113962173462,1.105073094367981,-0.7554793357849121,0.011646921746432781
9.5,-17.455276489257812,10.015454292297363,3.3926215171813965,0.7456797361373901,-0.4987332820892334,0.011946234852075577
9.600000000000001,-19.130659103393555,9.875043869018555,3.4420018196105957,0.42966336011886597,-0.2752275764942169,0.012073982506990433
9.700000000000001,-20.11602783203125,9.788480758666992,3.3638243675231934,0.17910653352737427,-0.10892066359519958,0.012156008742749691
9.8,-20.602806091308594,9.746514320373535,3.270249366760254,0.024504192173480988,0.006798312067985535,0.012188349850475788
9.9,-20.80187225341797,9.737116813659668,3.232304573059082,-0.03090500831604004,0.04317355155944824,0.012194241397082806
