t,q_J1,q_J2,q_J3,q_J4,q_J5,q_J6,qd_J1,qd_J2,qd_J3,qd_J4,qd_J5,qd_J6,qdd_J1,qdd_J2,qdd_J3,qdd_J4,qdd_J5,qdd_J6
1.1,0.6856587529182434,-0.5455175638198853,-0.9945036768913269,-0.31399229168891907,-0.714398980140686,-0.01396580133587122,0.9334932565689087,-0.7426973581314087,-1.3539716005325317,-0.42748624086380005,-0.972621738910675,-0.01901380345225334,0.12533612549304962,-0.09971878677606583,-0.18179194629192352,-0.05739673972129822,-0.13058975338935852,-0.0025529018603265285
1.2000000000000002,0.7833510041236877,-0.6232425570487976,-1.136199951171875,-0.3587297201156616,-0.8161861300468445,-0.015955640003085136,0.9400212168693542,-0.7478910684585571,-1.363439917564392,-0.4304756820201874,-0.9794233441352844,-0.019146768376231194,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.3,0.8810431361198425,-0.7009674906730652,-1.2778960466384888,-0.4034671187400818,-0.9179731607437134,-0.01794547587633133,0.9334933161735535,-0.7426974177360535,-1.3539717197418213,-0.42748627066612244,-0.9726218581199646,-0.01901380531489849,-0.12533603608608246,0.09971871227025986,0.18179181218147278,0.05739670246839523,0.13058964908123016,0.0025528999976813793
1.4000000000000001,0.9773754477500916,-0.7776105403900146,-1.4176198244094849,-0.44758176803588867,-1.0183433294296265,-0.019907616078853607,0.9139095544815063,-0.7271163463592529,-1.3255666494369507,-0.4185180366039276,-0.9522172212600708,-0.018614914268255234,-0.25067225098609924,0.19943757355213165,0.36358389258384705,0.11479347944259644,0.26117950677871704,0.005105803720653057
1.5,1.0709877014160156,-0.8520894050598145,-1.5533983707427979,-0.49045079946517944,-1.1158794164657593,-0.02181435190141201,0.8812698721885681,-0.7011479139328003,-1.2782249450683594,-0.4035709500312805,-0.9182093739509583,-0.017950095236301422,-0.3760084807872772,0.29915639758110046,0.5453759431838989,0.17219026386737823,0.39176931977272034,0.00765870651230216
1.6,1.1605198383331299,-0.9233222007751465,-1.6832590103149414,-0.531451404094696,-1.2091645002365112,-0.023637982085347176,0.8355744481086731,-0.6647920608520508,-1.211946725845337,-0.38264504075050354,-0.8705986142158508,-0.017019350081682205,-0.5013445019721985,0.3988751471042633,0.7271677851676941,0.22958695888519287,0.5223590135574341,0.010211607441306114
1.7000000000000002,1.244612455368042,-0.9902271628379822,-1.8052297830581665,-0.5699609518051147,-1.2967818975448608,-0.025350816547870636,0.776823103427887,-0.618048906326294,-1.1267317533493042,-0.3557403087615967,-0.8093846440315247,-0.015822676941752434,-0.6266807317733765,0.4985940158367157,0.9089598655700684,0.28698375821113586,0.652948796749115,0.012764510698616505
1.8,1.3219047784805298,-1.0517218112945557,-1.917337417602539,-0.6053563952445984,-1.3773140907287598,-0.026925142854452133,0.7050158977508545,-0.5609182715415955,-1.0225800275802612,-0.32285675406455994,-0.7345675230026245,-0.014360076747834682,-0.7520169615745544,0.5983127951622009,1.0907518863677979,0.34438052773475647,0.7835386395454407,0.01531741302460432
1.9000000000000001,1.3910372257232666,-1.1067243814468384,-2.0176095962524414,-0.6370151042938232,-1.449344277381897,-0.028333263471722603,0.62015300989151,-0.4934004247188568,-0.8994917869567871,-0.2839944064617157,-0.6461474299430847,-0.012631550431251526,-0.8773529529571533,0.6980315446853638,1.2725437879562378,0.4017772078514099,0.914128303527832,0.017870314419269562
2.0,1.4506499767303467,-1.1541528701782227,-2.104074001312256,-0.6643142700195312,-1.511455774307251,-0.02954748086631298,0.5222340822219849,-0.4154951274394989,-0.757466733455658,-0.2391531765460968,-0.544124186038971,-0.01063709519803524,-1.002689242362976,0.7977503538131714,1.4543358087539673,0.4591740071773529,1.0447181463241577,0.020423216745257378
2.1,1.499382734298706,-1.192925214767456,-2.174757719039917,-0.6866310834884644,-1.5622313022613525,-0.030540091916918755,0.411259263753891,-0.32720234990119934,-0.5965049862861633,-0.18833310902118683,-0.42849770188331604,-0.008376711048185825,-1.1280254125595093,0.8974692225456238,1.6361279487609863,0.5165708065032959,1.1753079891204834,0.022976120933890343
2.2,1.535875678062439,-1.2219593524932861,-2.2276883125305176,-0.7033427357673645,-1.600253701210022,-0.03128339350223541,0.28722864389419556,-0.22852221131324768,-0.4166065752506256,-0.13153420388698578,-0.2992681860923767,-0.005850400310009718,-1.2533615827560425,0.9971880912780762,1.8179198503494263,0.5739675164222717,1.305897831916809,0.02552902325987816
2.3000000000000003,1.5587687492370605,-1.24017333984375,-2.2608933448791504,-0.7138264775276184,-1.624106526374817,-0.03174969181418419,0.1501423567533493,-0.11945488303899765,-0.2177717685699463,-0.06875656545162201,-0.1564357578754425,-0.0030581660103052855,-1.3786977529525757,1.0969069004058838,1.9997118711471558,0.6313642859458923,1.4364875555038452,0.028081927448511124
2.4000000000000004,1.5667020082473755,-1.2464851140975952,-2.27239990234375,-0.7174594402313232,-1.632372260093689,-0.03191128000617027,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5040339231491089,1.1966255903244019,2.1815037727355957,0.6887610554695129,1.5670772790908813,0.03063482604920864
2.5,1.5667020082473755,-1.2464851140975952,-2.27239990234375,-0.7174594402313232,-1.632372260093689,-0.03191128000617027,-0.0,0.0,0.0,0.0,-0.0,-0.0,-1.028606653213501,3.5626237392425537,0.19915328919887543,3.8170394897460938,-1.602529764175415,-1.536255121231079
2.6,1.5612764358520508,-1.2276935577392578,-2.2713494300842285,-0.6973259449005127,-1.6408250331878662,-0.04001447930932045,-0.10268210619688034,0.3556438982486725,0.019880754873156548,0.3810412585735321,-0.15997475385665894,-0.1533588021993637,-0.9428895115852356,3.2657387256622314,0.18255718052387238,3.498952865600586,-1.4689855575561523,-1.4082337617874146
2.7,1.5456199645996094,-1.173466444015503,-2.2683181762695312,-0.6392263174057007,-1.6652172803878784,-0.06339798867702484,-0.19643531739711761,0.6803622245788574,0.03803274780511856,0.7289485335350037,-0.3060387074947357,-0.29338204860687256,-0.8571723103523254,2.96885347366333,0.16596107184886932,3.180866003036499,-1.3354413509368896,-1.2802125215530396
2.8000000000000003,1.5206624269485474,-1.0870251655578613,-2.263485908508301,-0.5466121435165405,-1.7041001319885254,-0.10067269206047058,-0.2812596559524536,0.974155068397522,0.05445597693324089,1.0437217950820923,-0.4381917417049408,-0.42006975412368774,-0.7714550495147705,2.6719679832458496,0.14936496317386627,2.862779378890991,-1.201897382736206,-1.1521912813186646
2.9000000000000004,1.4873342514038086,-0.9715912342071533,-2.257033109664917,-0.42293477058410645,-1.7560242414474487,-0.1504494994878769,-0.35715511441230774,1.2370222806930542,0.06915044784545898,1.325360894203186,-0.5564339756965637,-0.5334219336509705,-0.6857377290725708,2.375082492828369,0.13276885449886322,2.5446927547454834,-1.0683530569076538,-1.024169921875
3.0,1.4465651512145996,-0.8303860425949097,-2.2491395473480225,-0.271645724773407,-1.8195408582687378,-0.21133925020694733,-0.4241216778755188,1.468963861465454,0.08211614936590195,1.5738660097122192,-0.6607652902603149,-0.6334385275840759,-0.6000205874443054,2.0781972408294678,0.11617275327444077,2.2266063690185547,-0.9348090291023254,-0.8961488008499146
3.1,1.3992855548858643,-0.6666309237480164,-2.239985704421997,-0.09619653224945068,-1.8932006359100342,-0.28195279836654663,-0.48215943574905396,1.6699800491333008,0.09335310757160187,1.7892372608184814,-0.7511858344078064,-0.7201195955276489,-0.5143033266067505,1.7813118696212769,0.09957664459943771,1.9085197448730469,-0.8012648820877075,-0.7681275606155396
3.2,1.3464252948760986,-0.4835473299026489,-2.2297511100769043,0.09996151924133301,-1.9755548238754272,-0.3609011173248291,-0.531268298625946,1.8400707244873047,0.10286130011081696,1.971474528312683,-0.8276955485343933,-0.7934651374816895,-0.42858612537384033,1.484426498413086,0.08298052847385406,1.5904330015182495,-0.6677206754684448,-0.640106201171875
3.3000000000000003,1.288914680480957,-0.28435659408569336,-2.218616247177124,0.31337690353393555,-2.0651543140411377,-0.4467950463294983,-0.5714482069015503,1.9792355298995972,0.11064070463180542,2.120577573776245,-0.8902942538261414,-0.853475034236908,-0.3428688645362854,1.1875412464141846,0.06638442724943161,1.2723463773727417,-0.5341765284538269,-0.5120849609375
3.4000000000000004,1.227683663368225,-0.0722804069519043,-2.206760883331299,0.5405980348587036,-2.1605498790740967,-0.5382453203201294,-0.6026992797851562,2.087475061416626,0.11669137328863144,2.236546516418457,-0.9389823079109192,-0.9001494646072388,-0.25715166330337524,0.8906559348106384,0.04978832229971886,0.9542598724365234,-0.40063244104385376,-0.3840637803077698
3.5,1.163662314414978,0.14946019649505615,-2.1943655014038086,0.7781736850738525,-2.2602925300598145,-0.633863091468811,-0.6250213980674744,2.1647889614105225,0.12101327627897263,2.3193814754486084,-0.9737593531608582,-0.9334883093833923,-0.1714344173669815,0.5937705039978027,0.03319220617413521,0.6361730694770813,-0.26708823442459106,-0.2560424506664276
