t,yaw,pitch,roll
7.100000000000000533e+00,-2.042890751430386561e-03,9.418149295470416849e-02,3.315599514816974097e-02
7.200000000000000178e+00,-2.921924829372941641e-03,1.016125596827746336e-01,3.552043128045995202e-02
7.300000000000000711e+00,-3.796942813575019619e-03,1.089597442768108632e-01,3.774340789253798067e-02
7.400000000000000355e+00,-4.669599538333131516e-03,1.161690101240847872e-01,3.978992338222266112e-02
7.500000000000000000e+00,-5.542564039712700834e-03,1.231880683435850887e-01,4.162588232329624688e-02
7.600000000000000533e+00,-6.419367251798869557e-03,1.299671328698995543e-01,4.321899407208044247e-02
7.700000000000000178e+00,-7.304170715686150554e-03,1.364594492990322261e-01,4.453959166060802999e-02
7.800000000000000711e+00,-8.201471334101402902e-03,1.426216011119204596e-01,4.556135441304583894e-02
7.900000000000000355e+00,-9.115759676448601315e-03,1.484136121924238827e-01,4.626192881411194530e-02
8.000000000000000000e+00,-1.005115001965799747e-02,1.537988774727914454e-01,4.662345203216220618e-02
8.099999999999999645e+00,-1.101099969703226919e-02,1.587439638619192739e-01,4.663299017536313984e-02
8.200000000000001066e+00,-1.199753402990342936e-02,1.632183313482152009e-01,4.628290817521191897e-02
8.300000000000000711e+00,-1.301149173096694325e-02,1.671940294810000671e-01,4.557118981174099193e-02
8.400000000000000355e+00,-1.405180467814781675e-02,1.706454276010374582e-01,4.450172478463172016e-02
8.500000000000000000e+00,-1.511532567907482999e-02,1.735490386092512771e-01,4.308457511426351527e-02
8.599999999999999645e+00,-1.619661840930511354e-02,1.758834962956876136e-01,4.133622593436326459e-02
8.700000000000001066e+00,-1.728782508835644688e-02,1.776297461408322675e-01,3.927981641453807959e-02
8.800000000000000711e+00,-1.837862956386736302e-02,1.787715104007397138e-01,3.694533557341901642e-02
8.900000000000000355e+00,-1.945633631566542551e-02,1.792960925073999734e-01,3.436975524935289433e-02
9.000000000000000000e+00,-2.050608989655756942e-02,1.791955975020317338e-01,3.159705785063433164e-02
9.099999999999999645e+00,-2.151126590372243880e-02,1.784686720125254755e-01,2.867809746720440672e-02
9.200000000000001066e+00,-2.245407700675602913e-02,1.771229232320165881e-01,2.567020429789291722e-02
9.300000000000000711e+00,-2.331646196397657231e-02,1.751782859252261348e-01,2.263639466092328204e-02
9.400000000000000355e+00,-2.408136987529867212e-02,1.726718051899096551e-01,1.964397060536372114e-02
9.500000000000000000e+00,-2.473461465019981265e-02,1.696646083658656934e-01,1.676218933054644117e-02
9.600000000000001421e+00,-2.526750060225943159e-02,1.662520886625001304e-01,1.405863520874147364e-02
9.700000000000001066e+00,-2.568019837926291751e-02,1.625776298778584539e-01,1.159419208115177249e-02
9.800000000000000711e+00,-2.598501086893868078e-02,1.588465777663513601e-01,9.417475870819239439e-03
9.900000000000000355e+00,-2.620762129518899169e-02,1.553329543137058344e-01,7.561277761434871680e-03
1.000000000000000000e+01,-2.638648592708888255e-02,1.523890255872023258e-01,6.044941308405621209e-03
