t,u1,u2,u3,u4,u5,u6
3.700000000000000178e+00,1.752342909420954720e-01,-2.421174453555623510e-02,6.143292126516070040e-03,1.556673093724528570e-02,-8.347057869602162589e-03,-3.690869071696757197e-04
3.800000000000000266e+00,1.538817339309278553e-01,-1.930438407476790103e-02,5.541608885131853179e-03,1.397368226642670651e-02,-7.397275571248763601e-03,-3.247029318767609874e-04
3.900000000000000355e+00,1.321632215860203130e-01,-1.491927821643054472e-02,4.797316429070608290e-03,1.240012588975798052e-02,-6.458041789715823419e-03,-2.831985780459190952e-04
4.000000000000000000e+00,1.104663950658780897e-01,-1.118866548212542680e-02,3.878531915596325486e-03,1.087932714859838820e-02,-5.548342797413098604e-03,-2.447749458770278642e-04
4.100000000000000533e+00,8.912745764547945482e-02,-8.215233781339009722e-03,2.757737939970830027e-03,9.436794389150297141e-03,-4.682729983944251655e-03,-2.094967244521707395e-04
4.200000000000000178e+00,6.843137147549584187e-02,-6.074014283185011007e-03,1.412118387902882091e-03,8.090631393015690342e-03,-3.871499006356623595e-03,-1.773213644487301518e-04
4.299999999999999822e+00,4.861475081268463311e-02,-4.814932748499213197e-03,-1.762543145574398118e-04,6.852264636030265185e-03,-3.121091233577087676e-03,-1.481258365969632094e-04
4.400000000000000355e+00,2.987072441180509824e-02,-4.465390111097176234e-03,-2.020212108685033592e-03,5.727409629676779614e-03,-2.434639791721210020e-03,-1.217297218279408976e-04
4.500000000000000000e+00,1.235501534632083530e-02,-5.032337720661557781e-03,-4.127110720793317200e-03,4.717149290923046412e-03,-1.812586759004981190e-03,-9.791402676803770844e-05
4.600000000000000533e+00,-3.807495827011593906e-03,-6.503453578370569504e-03,-6.498158131964532590e-03,3.819016161430238698e-03,-1.253308448825283866e-03,-7.643566290536942778e-05
4.700000000000000178e+00,-1.851640354644723541e-02,-8.847201480519978692e-03,-9.127389281329724782e-03,3.027995231462269829e-03,-7.536998466100594367e-04,-5.703795315381148283e-05
4.800000000000000711e+00,-3.169019596693839480e-02,-1.201175207884845782e-02,-1.200029316918909891e-02,2.337391373921800068e-03,-3.096849111178089781e-04,-3.945783190602896655e-05
4.900000000000000355e+00,-4.326193267085624850e-02,-1.592294952791302454e-02,-1.509217648165705333e-02,1.739531906549048393e-03,8.336521667336345420e-05,-2.343058798600787572e-05
5.000000000000000000e+00,-5.317651053760110574e-02,-2.048170421629283422e-02,-1.836642791059324431e-02,1.226298315001764488e-03,4.303104040830523294e-04,-8.693072122276324304e-06
5.100000000000000533e+00,-6.138968197736307392e-02,-2.556136344950103029e-02,-2.177292090360839066e-02,7.895001672812065191e-04,7.360093871928131103e-04,5.013738891932178077e-06
5.200000000000000178e+00,-6.786880940313980148e-02,-3.100573775880726204e-02,-2.524684938493290676e-02,4.211178244771388371e-04,1.005162710140319361e-03,1.794205007449846075e-05
5.300000000000000711e+00,-7.259515317423670400e-02,-3.662851901654323727e-02,-2.870831967446242639e-02,1.134482814106208687e-04,1.242211729121722643e-03,3.033385713485675260e-05
5.400000000000000355e+00,-7.556731049209258755e-02,-4.221479691636748771e-02,-3.206301128676185969e-02,-1.408096579350774993e-04,1.451273688858040374e-03,4.241654853646216515e-05
5.500000000000000000e+00,-7.680526743624521702e-02,-4.752524703351787561e-02,-3.520416084160056525e-02,-3.484982454806280494e-04,1.636095090112945705e-03,5.439749550540046510e-05
5.600000000000000533e+00,-7.635441619932421820e-02,-5.230332187139682260e-02,-3.801601351669281481e-02,-5.159472155195875265e-04,1.800010412693978708e-03,6.645793403007034636e-05
5.700000000000000178e+00,-7.428884544831924897e-02,-5.628543774486940987e-02,-4.037872988492340748e-02,-6.489105775004397683e-04,1.945899856040268902e-03,7.874671770548099148e-05
5.800000000000000711e+00,-7.071325003417100463e-02,-5.921374694094617974e-02,-4.217454704985846431e-02,-7.524930557209676824e-04,2.076146917738248311e-03,9.137471524846871133e-05
5.900000000000000355e+00,-6.576293385388837232e-02,-6.085066815054431671e-02,-4.329479602836529967e-02,-8.310768313872368696e-04,2.192602964350433368e-03,1.044107001299584962e-04
6.000000000000000000e+00,-5.960158948772700804e-02,-6.099398472199207832e-02,-4.364720382715534669e-02,-8.882672299668093602e-04,2.296570101659168445e-03,1.178795048005048781e-04
