t,yaw,pitch,roll
2.727272727272727071e+00,-6.255272775888442993e-02,-1.516136378049850464e-01,2.118488550186157227e-01
2.828282828282828287e+00,-5.798322707414627075e-02,-1.549334079027175903e-01,2.060335874557495117e-01
2.929292929292929060e+00,-5.064592882990837097e-02,-1.598070710897445679e-01,1.965701729059219360e-01
3.030303030303030276e+00,-4.036844521760940552e-02,-1.656776070594787598e-01,1.831172406673431396e-01
3.131313131313131048e+00,-2.722042240202426910e-02,-1.715627908706665039e-01,1.657141298055648804e-01
3.232323232323232265e+00,-1.150092575699090958e-02,-1.762468963861465454e-01,1.448665261268615723e-01
3.333333333333333481e+00,6.274338345974683762e-03,-1.785712391138076782e-01,1.215641498565673828e-01
3.434343434343434254e+00,2.540053427219390869e-02,-1.777346879243850708e-01,9.715919196605682373e-02
3.535353535353535470e+00,4.503915458917617798e-02,-1.734810918569564819e-01,7.311158627271652222e-02
3.636363636363636243e+00,6.430050730705261230e-02,-1.660984456539154053e-01,5.070405080914497375e-02
3.737373737373737459e+00,8.234259486198425293e-02,-1.562628895044326782e-01,3.085479512810707092e-02
3.838383838383838231e+00,9.847524017095565796e-02,-1.448399573564529419e-01,1.407771650701761246e-02
3.939393939393939448e+00,1.122516095638275146e-01,-1.327343285083770752e-01,5.381618393585085869e-04
4.040404040404040664e+00,1.235153228044509888e-01,-1.207976490259170532e-01,-9.873484261333942413e-03
4.141414141414140992e+00,1.323755830526351929e-01,-1.097590252757072449e-01,-1.747917570173740387e-02
4.242424242424242209e+00,1.391169130802154541e-01,-1.001636087894439697e-01,-2.274530567228794098e-02
4.343434343434343425e+00,1.440868675708770752e-01,-9.233637899160385132e-02,-2.619873918592929840e-02
4.444444444444444642e+00,1.476113498210906982e-01,-8.638747781515121460e-02,-2.834197133779525757e-02
4.545454545454544970e+00,1.499611884355545044e-01,-8.225042372941970825e-02,-2.959258109331130981e-02
4.646464646464646187e+00,1.513630002737045288e-01,-7.972601056098937988e-02,-3.025980666279792786e-02
4.747474747474747403e+00,1.520327329635620117e-01,-7.850722968578338623e-02,-3.055610507726669312e-02
4.848484848484848619e+00,1.522142440080642700e-01,-7.817567139863967896e-02,-3.063390217721462250e-02
4.949494949494949836e+00,1.522142440080642700e-01,-7.817567139863967896e-02,-3.063390217721462250e-02
5.050505050505050164e+00,1.522142440080642700e-01,-7.817567139863967896e-02,-3.063390217721462250e-02
5.151515151515151381e+00,1.522998511791229248e-01,-7.810658216476440430e-02,-3.117923997342586517e-02
5.252525252525252597e+00,1.526164561510086060e-01,-7.784070074558258057e-02,-3.317501768469810486e-02
5.353535353535353813e+00,1.532845348119735718e-01,-7.722957432270050049e-02,-3.727055341005325317e-02
5.454545454545454142e+00,1.544258743524551392e-01,-7.605586200952529907e-02,-4.390851408243179321e-02
5.555555555555555358e+00,1.561997234821319580e-01,-7.400351017713546753e-02,-5.341374501585960388e-02
5.656565656565656575e+00,1.588343828916549683e-01,-7.065052539110183716e-02,-6.611552089452743530e-02
5.757575757575757791e+00,1.626168638467788696e-01,-6.547356396913528442e-02,-8.244996517896652222e-02
5.858585858585858119e+00,1.678009331226348877e-01,-5.785610899329185486e-02,-1.029509678483009338e-01
5.959595959595959336e+00,1.744464337825775146e-01,-4.712078347802162170e-02,-1.280610412359237671e-01
6.060606060606060552e+00,1.822881698608398438e-01,-3.264596313238143921e-02,-1.578040719032287598e-01
6.161616161616161769e+00,1.907518953084945679e-01,-1.411789935082197189e-02,-1.915039420127868652e-01
6.262626262626262097e+00,1.991238445043563843e-01,8.137296885251998901e-03,-2.277661859989166260e-01
6.363636363636363313e+00,2.067333161830902100e-01,3.293885663151741028e-02,-2.647845149040222168e-01
6.464646464646464530e+00,2.130098640918731689e-01,5.836949869990348816e-02,-3.007971346378326416e-01
6.565656565656565746e+00,2.174519449472427368e-01,8.226228505373001099e-02,-3.344148695468902588e-01
6.666666666666666963e+00,2.196764051914215088e-01,1.028353199362754822e-01,-3.646755218505859375e-01
6.767676767676767291e+00,2.196108251810073853e-01,1.191403418779373169e-01,-3.909109532833099365e-01
6.868686868686868507e+00,2.176679521799087524e-01,1.311204433441162109e-01,-4.126267135143280029e-01
6.969696969696969724e+00,2.146961987018585205e-01,1.393307596445083618e-01,-4.295080006122589111e-01
7.070707070707070940e+00,2.116855978965759277e-01,1.445563882589340210e-01,-4.415142536163330078e-01
7.171717171717171269e+00,2.094062119722366333e-01,1.475464254617691040e-01,-4.489685595035552979e-01
7.272727272727272485e+00,2.081747800111770630e-01,1.489365845918655396e-01,-4.526053369045257568e-01
7.373737373737373701e+00,2.078248262405395508e-01,1.493089497089385986e-01,-4.535990059375762939e-01
7.474747474747474918e+00,2.078248262405395508e-01,1.493089497089385986e-01,-4.535990059375762939e-01
7.575757575757575246e+00,2.078248262405395508e-01,1.493089497089385986e-01,-4.535990059375762939e-01
7.676767676767676463e+00,2.076529413461685181e-01,1.490689069032669067e-01,-4.533860385417938232e-01
7.777777777777777679e+00,2.069591283798217773e-01,1.481394171714782715e-01,-4.525691866874694824e-01
7.878787878787878896e+00,2.051952928304672241e-01,1.459645926952362061e-01,-4.507005810737609863e-01
7.979797979797979224e+00,2.013210952281951904e-01,1.416438519954681396e-01,-4.471162855625152588e-01
8.080808080808081328e+00,1.935554891824722290e-01,1.337288171052932739e-01,-4.407954812049865723e-01
8.181818181818181657e+00,1.793597042560577393e-01,1.202175691723823547e-01,-4.302318692207336426e-01
8.282828282828281985e+00,1.558798998594284058e-01,9.899843484163284302e-02,-4.132706522941589355e-01
8.383838383838384090e+00,1.208534315228462219e-01,6.891797482967376709e-02,-3.869402408599853516e-01
8.484848484848484418e+00,7.355188578367233276e-02,3.126834332942962646e-02,-3.475826680660247803e-01
8.585858585858586522e+00,1.528318598866462708e-02,-9.053393267095088959e-03,-2.918025553226470947e-01
8.686868686868686851e+00,-5.047663301229476929e-02,-4.375073686242103577e-02,-2.183955460786819458e-01
8.787878787878787179e+00,-1.180398389697074890e-01,-6.334417313337326050e-02,-1.304391771554946899e-01
8.888888888888889284e+00,-1.800711303949356079e-01,-6.084050610661506653e-02,-3.584641218185424805e-02
8.989898989898989612e+00,-2.296446263790130615e-01,-3.485548868775367737e-02,5.485725030303001404e-02
9.090909090909089940e+00,-2.630394697189331055e-01,9.935318492352962494e-03,1.324719488620758057e-01
9.191919191919192045e+00,-2.809958457946777344e-01,6.515597552061080933e-02,1.920045167207717896e-01
9.292929292929292373e+00,-2.874973416328430176e-01,1.219821721315383911e-01,2.330297231674194336e-01
9.393939393939394478e+00,-2.874162197113037109e-01,1.734275966882705688e-01,2.583294808864593506e-01
9.494949494949494806e+00,-2.847073972225189209e-01,2.151753008365631104e-01,2.721406519412994385e-01
9.595959595959595134e+00,-2.817668616771697998e-01,2.454158365726470947e-01,2.787161171436309814e-01
9.696969696969697239e+00,-2.796465754508972168e-01,2.643181085586547852e-01,2.814103364944458008e-01
9.797979797979797567e+00,-2.785541117191314697e-01,2.735593020915985107e-01,2.823365032672882080e-01
9.898989898989899672e+00,-2.782505154609680176e-01,2.760854363441467285e-01,2.825465798377990723e-01
1.000000000000000000e+01,-2.782505154609680176e-01,2.760854363441467285e-01,2.825465798377990723e-01
